start_date,end_date,eod_ticker,open_figi,cik,cusip,isin,sector,industry,gic_sector,gic_group,gic_industry,gic_sub_industry,country_iso
2017-08-24,,ACEL.US,BBG00GX221W3,708717,G89827102,US00436Q1067,Consumer Cyclical,Gambling,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,US
2000-03-07,,ACER.US,BBG000BG5S59,1069308,7171EN106,US00444P1084,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,US
2018-01-26,,ACET.US,BBG00JCXSJP3,1720580,004446100,US0070021086,Healthcare,Biotechnology,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,US
1992-02-11,,ACFN.US,BBG000CMY866,880984,237887104,US0048481073,Technology,Scientific & Technical Instruments,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,US
1995-09-14,,ACGL.US,BBG000HXNN20,947484,03937L105,USG0450A1054,Financial Services,Insurance - Diversified,Financials,Insurance,Insurance,Property & Casualty Insurance,US
1996-01-26,,ACGN.US,BBG000DQGMR2,861838,,US00445F1093,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2012-01-11,,ACHC.US,BBG000FPNN38,1520697,00404A109,US00404A1097,Healthcare,Medical Care Facilities,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities,US
2020-12-18,,ACHR.US,BBG00XRTC910,1172230,,US03945R1023,Industrials,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,US
1995-10-12,,ACHV.US,BBG000FB8S62,949858,835692104,US0044685008,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
1995-02-24,,ACIW.US,BBG000PMBV39,935036,893416107,US0044981019,Technology,Software - Infrastructure,Information Technology,Software & Services,Software,Application Software,US
2000-07-11,,ACLS.US,BBG000DW34S2,1113232,054540109,US0545402085,Technology,Semiconductor Equipment & Materials,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,US
2022-02-04,,ACLX.US,BBG00QHJM4S9,1786205,,US03940C1009,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2007-05-10,,ACM.US,BBG000F61RJ8,868857,00766T100,US00766T1007,Industrials,Engineering & Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,US
2017-11-03,,ACMR.US,BBG00HPSG933,1680062,00108J109,US00108J1097,Technology,Semiconductor Equipment & Materials,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,US
2001-07-19,,ACN.US,BBG000D9D830,1467373,G1150G111,USG1151C1011,Technology,Information Technology Services,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,US
1995-07-24,,ACNB.US,BBG000BJ2LY9,715579,000868109,US0008681092,Financial Services,Banks - Regional,Financials,Banks,Banks,Regional Banks,US
1984-11-05,,ACNT.US,BBG000CLRHW7,0000095953,,,Basic Materials,Steel,Materials,Materials,Metals & Mining,Diversified Metals & Mining,US
2006-02-10,,ACOR.US,BBG000FD10V8,1008848,00484M106,US00484M6012,Healthcare,Drug Manufacturers - Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2006-02-07,,ACR.US,BBG000HK4RX6,1332551,30068N105,US00489Q1022,Real Estate,REIT - Mortgage,Financials,Financial Services,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,US
2012-04-26,,ACRE.US,BBG0022MMQB0,1529377,04013V108,US04013V1089,Real Estate,REIT - Mortgage,Financials,Financial Services,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,US
2015-10-07,,ACRS.US,BBG003LF0QR9,1557746,00461U105,US00461U1051,Healthcare,Diagnostics & Research,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,US
2022-11-15,,ACRV.US,BBG011RWR2Q4,1781174,,,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2011-02-11,,ACRX.US,BBG0018YYFX7,1427925,00444T100,US00444T1007,Healthcare,Drug Manufacturers - Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,US
2021-09-16,,ACT.US,BBG00WSNP4R3,1823529,,US29249E1091,Financial Services,Insurance - Specialty,Financials,Insurance,Insurance,Property & Casualty Insurance,US
1995-07-10,,ACTG.US,BBG000KF9J02,934549,003881109,US0038813079,Industrials,Business Equipment & Supplies,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services,US
2021-03-24,,ACVA.US,BBG00G5JGQ66,1637873,,US00091G1040,Consumer Cyclical,Auto & Truck Dealerships,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services,US
1986-08-13,,ADBE.US,BBG000BB5006,796343,00724F101,US00724F1012,Technology,Software - Infrastructure,Information Technology,Software & Services,Software,Application Software,US
1994-04-15,,ADC.US,BBG000BC9DK0,917251,008492100,US0084921008,Real Estate,REIT - Retail,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs,Retail REITs,US
2003-11-13,,ADEA.US,BBG00RBFBL50,1803696,,,Technology,Software - Application,Information Technology,Software & Services,Software,Application Software,US
2003-10-22,,ADES.US,BBG000JFNL85,1515156,00770C101,US00770C1018,Industrials,Pollution & Treatment Controls,Materials,Materials,Chemicals,Specialty Chemicals,US
1980-03-17,,ADI.US,BBG000BB6G37,6281,032654105,US0326541051,Technology,Semiconductors,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
1984-11-05,,ADM.US,BBG000BB6WG8,7084,039483102,US0394831020,Consumer Defensive,Farm Products,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services,US
2013-10-21,,ADMA.US,BBG002NCK5M5,1368514,000899104,US0008991046,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2019-01-23,,ADN.US,BBG00MDV8X34,1744494,,US00788A1051,Utilities,Utilities - Renewable,Utilities,Utilities,Electric Utilities,Electric Utilities,US
2016-10-17,,ADNT.US,BBG009PN0C87,1670541,G0084W101,IE00BD845X29,Consumer Cyclical,Auto Parts,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,US
1980-03-17,,ADP.US,BBG000JG0547,8670,053015103,US0530151036,Industrials,Staffing & Employment Services,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,US
2019-06-27,,ADPT.US,BBG001J2PFF5,1478320,00650F109,US00650F1093,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services,US
1985-06-28,,ADSK.US,BBG000BM7HL0,769397,052769106,US0527691069,Technology,Software - Application,Information Technology,Software & Services,Software,Application Software,US
2018-01-19,,ADT.US,BBG000BP9WJ1,1703056,,US00090Q1031,Industrials,Security & Protection Services,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,US
2021-04-20,,ADTH.US,BBG00Z4H6KP2,1838672,,US00739D1090,Communication Services,Advertising Agencies,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,US
1994-08-10,,ADTN.US,BBG0169CH7X9,926282,00738A106,US00486H1059,Technology,Communication Equipment,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,US
2009-10-28,,ADUS.US,BBG000NJGX84,1468328,006739106,US0067391062,Healthcare,Medical Care Facilities,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services,US
2019-09-09,,ADV.US,BBG00PPWZ8C7,1776661,007566102,US00791N1028,Communication Services,Advertising Agencies,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,US
2014-07-31,,ADVM.US,BBG006D9MR17,1501756,05337G107,US00773U1088,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2005-07-28,,ADXS.US,BBG000KVF074,1100397,,,Healthcare,Biotechnology,,,,,US
1980-03-17,,AE.US,BBG000BB92C5,2178,006351308,US0063513081,Energy,Oil & Gas Refining & Marketing,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,US
1984-11-05,,AEE.US,BBG000B9X8C0,1002910,023608102,US0236081024,Utilities,Utilities - Regulated Electric,Utilities,Utilities,Multi-Utilities,Multi-Utilities,US
2020-11-24,,AEI.US,BBG000PZLNH2,1750106,,US02116A1043,Real Estate,Real Estate - Development,Real Estate,Equity Real Estate Investment Trusts (REITs),Real Estate Management & Development,Real Estate Development,US
1995-11-17,,AEIS.US,BBG000FKMP26,927003,007973100,US0079731008,Industrials,Electrical Equipment & Parts,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,US
2003-12-04,,AEL.US,BBG000BB6H99,1039828,025676206,US0256762065,Financial Services,Insurance - Life,Financials,Insurance,Insurance,Life & Health Insurance,US
1994-04-14,,AEO.US,BBG000BGXZB5,919012,02553D108,US02553E1064,Consumer Cyclical,Apparel Retail,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail,US
1962-01-02,,AEP.US,BBG000BB9KF2,4904,025537101,US0255371017,Utilities,Utilities - Regulated Electric,Utilities,Utilities,Electric Utilities,Electric Utilities,US
1997-12-31,,AERG.US,BBG000D47V28,879911,902939107,US03819M1062,Industrials,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,US
1991-06-26,,AES.US,BBG000C23KJ3,874761,00130H105,US00130H1059,Utilities,Utilities - Diversified,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders,US
2020-02-27,,AEVA.US,BBG00RK5L2N3,1789029,,US00835Q1031,Technology,Software - Infrastructure,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,US
2021-03-19,,AFCG.US,BBG00YPSX4X5,1822523,,US00109K1051,Real Estate,REIT - Specialty,Financials,Financial Services,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,US
2020-08-06,,AFIB.US,BBG001YSZT60,1522860,,US0051111096,Healthcare,Medical Devices,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,US
1984-11-05,,AFL.US,BBG000BBBNC6,4977,001055102,US0010551028,Financial Services,Insurance - Life,Financials,Insurance,Insurance,Life & Health Insurance,US
2014-09-12,,AFMD.US,BBG006R5SSH5,,N01045108,NL0010872420,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
1992-04-16,,AGCO.US,BBG000DCCZW2,880266,001084102,US0010841023,Industrials,Farm & Heavy Construction Machinery,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery,US
2018-11-29,,AGE.US,BBG00HCXQ7B0,1708599,00848H108,US00848H1086,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2000-02-04,,AGEN.US,BBG000C8SWQ9,1098972,037032109,US00847G7051,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2014-04-24,,AGFS.US,BBG00699CVL2,1592016,10157P203,US00856G1094,Consumer Defensive,Farm Products,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals,US
2021-01-28,,AGFY.US,BBG00R295MM0,1800637,,US00853E1073,Industrials,Engineering & Construction,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery,US
2013-07-23,,AGIO.US,BBG000QY4ZD0,1439222,00847X104,US00847X1046,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
1994-02-10,,AGM.US,BBG000G8ZKY4,845877,313148306,US3131483063,Financial Services,Credit Services,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,US
2004-04-23,,AGO.US,BBG000CQB185,1273813,G0585R106,USG0585R1061,Financial Services,Insurance - Specialty,Financials,Insurance,Insurance,Property & Casualty Insurance,US
2014-05-23,,AGRX.US,BBG000PZHFB0,1261249,00847L100,US00847L2097,Healthcare,Drug Manufacturers - Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,US
2018-01-26,,AGS.US,BBG00JKZKM07,1593548,72814N104,US72814N1046,Consumer Cyclical,Gambling,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,US
2021-04-23,,AGTI.US,BBG00LQ2B3V7,1749704,,US00848J1043,Healthcare,Health Information Services,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,US
1984-11-13,,AGX.US,BBG000K4J3T0,100591,00651FAA6,US04010E1091,Industrials,Engineering & Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,US
1980-03-17,,AGYS.US,BBG000BR74W6,78749,723877106,US00847J1051,Technology,Software - Application,Information Technology,Software & Services,Software,Application Software,US
2018-05-24,,AHCO.US,BBG00KJQVGV3,1725255,23291E208,US00653Q1022,Healthcare,Medical Devices,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,US
2013-05-08,,AHH.US,BBG004CYX1M0,1569187,04208T108,US04208T1088,Real Estate,REIT - Diversified,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs,Diversified REITs,US
2003-08-26,,AHT.US,BBG000PRZVD1,1232582,044103109,US0441031095,Real Estate,REIT - Hotel & Motel,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs,Hotel & Resort REITs,US
2020-12-09,,AI.US,BBG00Y6G6X31,1577526,,US12468P1049,Technology,Software - Application,Information Technology,Software & Services,Software,Systems Software,US
1973-01-02,,AIG.US,BBG000BBDZG3,5272,026874107,US0268747849,Financial Services,Insurance - Diversified,Financials,Insurance,Insurance,Multi-line Insurance,US
1996-07-15,,AIM.US,BBG000JL6Z80,109471,42366C509,US00901B1052,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2006-12-15,,AIMC.US,BBG000Q26KW0,1374535,02208R106,US02208R1068,Industrials,Specialty Industrial Machinery,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components,US
1987-09-30,,AIN.US,BBG000BRWWH3,819793,012348108,US0123481089,Consumer Cyclical,Textile Manufacturing,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components,US
2014-11-07,,AINC.US,BBG0069GSFN2,1604738,044104107,US0441041078,Financial Services,Asset Management,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,US
2021-10-27,,AIP.US,BBG000QMLTK3,1667011,,US04302A1043,Technology,Semiconductors,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
1984-11-05,,AIR.US,BBG000BBGQF1,1750,000361105,US0003611052,Industrials,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,US
2016-08-12,,AIRG.US,BBG0026ZDGG4,1272842,00938A104,US00938A1043,Technology,Communication Equipment,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,US
2021-10-29,,AIRS.US,BBG012V27C29,1870940,,US0094961002,Healthcare,Medical Care Facilities,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,US
1984-11-06,,AIT.US,BBG000BBHHP9,109563,074005208,US03820C1053,Industrials,Industrial Distribution,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors,US
1994-07-22,,AIV.US,BBG000DD3510,922864,03748R408,US03748R7474,Real Estate,REIT - Residential,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs,Residential REITs,US
2004-02-05,,AIZ.US,BBG000BZX1N5,1267238,04621X108,US04621X1081,Financial Services,Insurance - Specialty,Financials,Insurance,Insurance,Multi-line Insurance,US
1984-06-20,,AJG.US,BBG000BBHXQ3,354190,363576109,US3635761097,Financial Services,Insurance Brokers,Financials,Insurance,Insurance,Insurance Brokers,US
1984-11-05,,AJRD.US,BBG000BKRHQ7,40888,368682100,US0078001056,Industrials,Aerospace & Defense,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,US
2021-09-22,,AKA.US,BBG0129CWQ14,1865107,,US00152K1016,Consumer Cyclical,Internet Retail,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,US
1999-10-29,,AKAM.US,BBG000BJQWD2,1086222,00971T101,US00971T1016,Technology,Software - Infrastructure,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure,US
2014-03-20,,AKBA.US,BBG000R33R00,1517022,00972D105,US00972D1054,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
1993-05-27,,AKR.US,BBG000BJGD54,899629,570382101,US0042391096,Real Estate,REIT - Retail,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs,Retail REITs,US
2019-06-20,,AKRO.US,BBG00L9211Y8,1744659,00973Y108,US00973Y1082,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2015-05-28,,AKTS.US,BBG005WX3H09,1584754,00973N102,US00973N1028,Technology,Communication Equipment,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,US
2021-04-16,,AKYA.US,BBG00JX4LRV6,1711933,,US00974H1041,Healthcare,Medical Instruments & Supplies,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,US
1994-02-22,,ALB.US,BBG000BJ26K7,915913,012653101,US0126531013,Basic Materials,Specialty Chemicals,Materials,Materials,Chemicals,Specialty Chemicals,US
2007-05-11,,ALBO.US,BBG000QFLCK5,1322505,09064M105,US01345P1066,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2016-12-06,,ALBT.US,BBG008648HM7,1630212,,,Real Estate,Real Estate Services,Real Estate,Equity Real Estate Investment Trusts (REITs),Real Estate Management & Development,Real Estate Development,US
1984-11-05,,ALCO.US,BBG000BBJR57,3545,016230104,US0162301040,Consumer Defensive,Farm Products,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services,US
2014-05-02,,ALDX.US,BBG0029H8ZF6,1341235,01438T106,US01438T1060,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
1973-05-03,,ALE.US,BBG000CYW7N5,66756,604110106,US0185223007,Utilities,Utilities - Diversified,Utilities,Utilities,Electric Utilities,Electric Utilities,US
2019-02-07,,ALEC.US,BBG00N0PL198,1653087,014442107,US0144421072,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2012-06-14,,ALEX.US,BBG00HS2GVL8,1545654,014481105,US57686G1058,Real Estate,REIT - Retail,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs,Diversified REITs,US
1993-03-19,,ALG.US,BBG000BJTZX0,897077,011311107,US0113111076,Industrials,Farm & Heavy Construction Machinery,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Transportation Equipment,US
2001-01-26,,ALGN.US,BBG000BRNLL2,1097149,016255101,US0162551016,Healthcare,Medical Devices,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies,US
2020-10-16,,ALGS.US,BBG00QX7QH68,1799448,,US01626L1052,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2006-12-08,,ALGT.US,BBG000LJS6B8,1362468,01748X102,US01748X1028,Industrials,Airlines,Industrials,Transportation,Passenger Airlines,Passenger Airlines,US
2021-03-26,,ALHC.US,BBG00ZJ0DSR6,1832466,,US01625V1044,Healthcare,Healthcare Plans,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services,US
2010-04-22,,ALIM.US,BBG000QLS2G2,1267602,016259202,US0162592028,Healthcare,Drug Manufacturers - Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,US
2020-07-17,,ALIT.US,BBG00H00J2N1,1809104,,US01626W1018,Technology,Software - Application,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services,US
1984-11-05,,ALK.US,BBG000BBL0Y1,766421,011659109,US0116591092,Industrials,Airlines,Industrials,Transportation,Passenger Airlines,Passenger Airlines,US
1991-07-16,,ALKS.US,BBG000C9F2F9,1520262,01642T108,USG017671052,Healthcare,Drug Manufacturers - Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2021-04-14,,ALKT.US,BBG005HTCT54,1529274,,US01644J1088,Technology,Software - Application,Information Technology,Software & Services,Software,Application Software,US
1993-06-03,,ALL.US,BBG000BVMGF2,899051,020002101,US0200021014,Financial Services,Insurance - Property & Casualty,Financials,Insurance,Insurance,Property & Casualty Insurance,US
2013-11-18,,ALLE.US,BBG003PS7JV1,1579241,G0176J109,USG0176J1090,Industrials,Security & Protection Services,Industrials,Capital Goods,Building Products,Building Products,US
